ID,SITE,STRAT,UNIT,NAMED_ID,OTHERUNIT,RAWMATERIAL,CORTEX,CORTEXTYPE,ARTIFACTCLASS,COMPLETENESS,CORECOMPLETENESS,RETOUCHEDPIECETYPOLOGY,RETOUCHTYPE,RETOUCHFACE,RETOUCHREGIONNUMBER,RETOUCHREGIONLOCATION,LENGTHLONGESTRETOUCH,RETOUCHINVASIVENESS,EDGETHICKNESS_1,EDGETHICKNESS_2,EDGETHICKNESS_3,BACKEDTOOLEDGE_1,BACKEDTOOLEDGE_2,BACKEDTOOLEDGE_3,BACKEDTOOLWIDTH_1,BACKEDTOOLWIDTH_2,BACKEDTOOLWIDTH_3,BACKEDTOOLTHICKNESS_1,BACKEDTOOLTHICKNESS_2,BACKEDTOOLTHICKNESS_3,BACKEDTOOLARRIS,PLATFORM,FLAKEINITIATION,FLAKETERMINATION,PIECEBLANK,SCRAPERMAXTHICKNESS,SCRAPERRETOUCHLENGTH,SCRAPERRETOUCHANGLE1,SCRAPERRETOUCHANGLE2,SCRAPERRETOUCHANGLE3,SCRAPERDORSALANGLE1,SCRAPERDORSALANGLE2,SCRAPERDORSALANGLE3,SCRAPERRETOUCHHEIGHT1,SCRAPERRETOUCHHEIGHT2,SCRAPERRETOUCHHEIGHT3,FLAKEGEOMETRY,PLATFORMPREP,PLATABRASION,PLATFORMWIDTH,PLATFORMTHICKNESS,STAGE,CONARDUNIFIEDTYPE,CORESUBTYPOLOGY,COREBLANKSPHERICITY,COREPLATFACETED,SCARCOUNT,EXPLOITEDFACES,FLAKEGENERATIONSLENGTH,FLAKEGENERATIONSWIDTH,FLAKEGENERATIONSTHICKNESS,LENGHTLONGESTFLAKESCAR,MAXLENGTH,TECHLENGTH,MAXWIDTH,TECHWIDTH,MAXTHICKNESS,MASS,COMMMENTS,PHOTO,
1,LIK,XV,O5c-057,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,3.29,1.29,Main,,,,,,,,,,,12.01,12.01,3.62,3.62,1.53,0.07,,N,
10,LIK,XV,O5c-057,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,KITE,NotPrepared,No,6.78,2.82,Main,,,,,,,,,,,25.49,25.49,21.34,21.34,2.85,1.77,,N,
100,LIK,XV,O4a-057,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Overshot,,,,,,,,,,,,,RECTANGULAR,Indeterminate,No,10.65,1.6,Main,,,,,,,,,,,30.24,30.24,13.66,13.66,4.82,2.84,,N,
1003,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Step,,,,,,,,,,,,,OVAL,NotPrepared,No,6.35,2.08,Main,,,,,,,,,,,13.64,13.64,14.34,14.34,2.54,0.51,,N,
1004,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.76,3.76,Main,,,,,,,,,,,20.77,20.77,12.76,10.89,8.94,2.53,,N,
1005,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,9.6,6.07,Main,,,,,,,,,,,49.54,49.54,30.79,30.79,12.06,20.12,,N,
1006,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,7.22,2.88,Main,,,,,,,,,,,28.41,28.41,19.53,19.53,1.73,1.53,,N,
1007,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRAPEZOIDAL,NotPrepared,No,2.97,1.48,Main,,,,,,,,,,,9.13,9.13,14.32,10.92,2.32,0.24,,N,
1008,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,4.02,2.32,,,,,,,,,,,,17.48,,11.6,,4.85,1.29,,N,
1009,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,KITE,NotPrepared,No,9.86,5.83,Main,,,,,,,,,,,13.42,13.42,20.1,20.1,3.89,1.1,,N,
1010,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.91,1.09,Main,,,,,,,,,,,28.51,28.51,24.48,21.39,1.64,1.97,,N,
1011,LIK,XIII,,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,OVAL,NotPrepared,No,8.1,3.56,Main,,,,,,,,,,,19.34,19.34,16.55,16.55,6.07,2.76,,N,
1012,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,11.26,3.19,Main,,,,,,,,,,,21.34,21.34,26.43,26.43,4,2.68,,N,
101,LIK,XV,O4a-057,,,Opaline/CCS,10-40%,Outcrop,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,10.55,3.36,Main,,,,,,,,,,,20.06,20.06,9.66,9.66,5.55,0.97,,N,
1013,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Step,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,9.96,4.67,Main,,,,,,,,,,,31.38,31.38,18.99,18.99,7.36,5.47,,N,
1014,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,23.04,7.64,Main,,,,,,,,,,,17.71,13.88,25.12,25.12,5.43,3.2,,N,
1015,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Distal,,,,,,,,,,,,,,,,,,,,,,,,Feather,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,17.64,,14.33,,1.92,1.05,,N,
1016,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,ResidualFacetWithBulb,No,5.35,2.38,Main,,,,,,,,,,,23.78,23.78,14.02,9.77,1.85,0.99,,N,
1017,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RHOMBUS,NotPrepared,No,17.59,3.83,Main,,,,,,,,,,,25.44,25.44,24.71,20.2,5.82,4.27,Ut,N,
1018,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,10.86,4,Main,,,,,,,,,,,29.81,29.82,20.24,17.58,4.07,3.44,,N,
1019,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.21,1.76,Main,,,,,,,,,,,12.29,12.29,6.61,6.61,0.94,0.17,,N,
1020,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Bipolar,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,6.7,3.53,Main,,,,,,,,,,,22.12,19.17,17.02,14.54,3.31,1.78,,N,
1021,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Wedging,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,3.57,0.59,Main,,,,,,,,,,,17.55,17.55,10.78,10.78,1.53,0.32,,N,
1022,LIK,XIII,O4a-049,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,4.39,1.63,,,,,,,,,,,,7.84,,11.92,,2.09,0.21,,N,
