ID,SITE,STRAT,UNIT,NAMED_ID,OTHERUNIT,RAWMATERIAL,CORTEX,CORTEXTYPE,ARTIFACTCLASS,COMPLETENESS,CORECOMPLETENESS,RETOUCHEDPIECETYPOLOGY,RETOUCHTYPE,RETOUCHFACE,RETOUCHREGIONNUMBER,RETOUCHREGIONLOCATION,LENGTHLONGESTRETOUCH,RETOUCHINVASIVENESS,EDGETHICKNESS_1,EDGETHICKNESS_2,EDGETHICKNESS_3,BACKEDTOOLEDGE_1,BACKEDTOOLEDGE_2,BACKEDTOOLEDGE_3,BACKEDTOOLWIDTH_1,BACKEDTOOLWIDTH_2,BACKEDTOOLWIDTH_3,BACKEDTOOLTHICKNESS_1,BACKEDTOOLTHICKNESS_2,BACKEDTOOLTHICKNESS_3,BACKEDTOOLARRIS,PLATFORM,FLAKEINITIATION,FLAKETERMINATION,PIECEBLANK,SCRAPERMAXTHICKNESS,SCRAPERRETOUCHLENGTH,SCRAPERRETOUCHANGLE1,SCRAPERRETOUCHANGLE2,SCRAPERRETOUCHANGLE3,SCRAPERDORSALANGLE1,SCRAPERDORSALANGLE2,SCRAPERDORSALANGLE3,SCRAPERRETOUCHHEIGHT1,SCRAPERRETOUCHHEIGHT2,SCRAPERRETOUCHHEIGHT3,FLAKEGEOMETRY,PLATFORMPREP,PLATABRASION,PLATFORMWIDTH,PLATFORMTHICKNESS,STAGE,CONARDUNIFIEDTYPE,CORESUBTYPOLOGY,COREBLANKSPHERICITY,COREPLATFACETED,SCARCOUNT,EXPLOITEDFACES,FLAKEGENERATIONSLENGTH,FLAKEGENERATIONSWIDTH,FLAKEGENERATIONSTHICKNESS,LENGHTLONGESTFLAKESCAR,MAXLENGTH,TECHLENGTH,MAXWIDTH,TECHWIDTH,MAXTHICKNESS,MASS,COMMMENTS,PHOTO
1,LIK,XVII,P5,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,FacetWithBulb,No,5.22,1.45,Main,,,,,,,,,,,18.01,18.07,10.85,9.95,1.63,0.43,,N
10,LIK,XVII,O5b,,,Opaline/CCS,0%,,Flake,Fragment,,,,,,,,,,,,,,,,,,,,,,No,,Indeterminate,,,,,,,,,,,,,TRAPEZOIDAL,,,,,,,,,,,,,,,,15.45,,26.71,,5.5,2.97,,N
100,LIK,XVII,P5c,,,Opaline/CCS,0%,,Flake,Fragment,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RHOMBUS,Indeterminate,No,3.06,1.08,,,,,,,,,,,,12.43,,11.04,,0.75,0.07,,N
1002,LIK,XI,O4a,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Step,,,,,,,,,,,,,RECTANGULAR,NotPrepared,Yes,10.72,5,Main,,,,,,,,,,,15.79,15.79,11.48,11.86,7.19,1.24,,N
1003,LIK,XI,O4a,,,Opaline/CCS,0%,,Flake,Mesial,,,,,,,,,,,,,,,,,,,,,,No,,Indeterminate,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,7.11,,15.01,,2.37,0.37,,N
1004,LIK,XI,O4a,,,Opaline/CCS,0%,,Flake,Mesial,,,,,,,,,,,,,,,,,,,,,,No,,Indeterminate,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,9.02,,11.49,,3.49,0.38,,N
1005,LIK,XI,O4a,,,Opaline/CCS,0%,,Flake,Fragment,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,13.54,4.18,,,,,,,,,,,,17.63,,13.42,,3.71,1.14,,N
1006,LIK,XI,O4a,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,10.32,3.27,Main,,,,,,,,,,,9.53,7.15,13.64,13.64,5.65,0.62,,N
1007,LIK,XI,O4a,,,Opaline/CCS,0%,,Flake,Mesial,,,,,,,,,,,,,,,,,,,,,,No,,Indeterminate,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,10.82,,14.27,,1.5,0.36,,N
1008,LIK,XI,O4a,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,4.59,1.45,Main,,,,,,,,,,,10.05,8.05,11.11,8.15,1.34,0.13,,N
