"","contrast","estimate","lower.HPD","upper.HPD"
"1","STRAT_mod0.01 - STRAT_mod0.09",0.378092024379072,-0.0310629651859813,0.811273076807481
"2","STRAT_mod0.01 - STRAT_mod0.1",0.288487580639014,-0.203540023574192,0.82579375753096
"3","STRAT_mod0.01 - STRAT_mod0.2",0.589726870440302,0.0704374192592354,1.07055357896451
"4","STRAT_mod0.01 - STRAT_mod0.3",0.0705512649797129,-0.339933183425956,0.521967677704197
"5","STRAT_mod0.01 - STRAT_mod0.82",-0.121852174531909,-0.485217940320695,0.243864849083195
"6","STRAT_mod0.01 - STRAT_mod1.08",0.0209064136887775,-0.359756589347796,0.423578531382134
"7","STRAT_mod0.01 - STRAT_mod1.44",-0.705834051961602,-1.12676349054209,-0.355529512819942
"8","STRAT_mod0.01 - STRAT_mod2.15",-0.460294312719554,-0.916101430936976,0.0449465014749535
"9","STRAT_mod0.01 - STRAT_mod2.88",-1.10128078703035,-1.52111424990676,-0.594256465118349
"10","STRAT_mod0.01 - STRAT_mod3.37",-1.01002913261817,-1.42998929751866,-0.565703855607524
"11","STRAT_mod0.09 - STRAT_mod0.1",-0.0944454833312136,-0.535065483825406,0.430965108445434
"12","STRAT_mod0.09 - STRAT_mod0.2",0.210631040675992,-0.239831666228838,0.710698868138252
"13","STRAT_mod0.09 - STRAT_mod0.3",-0.3077938518,-0.709204967424512,0.0340968397023289
"14","STRAT_mod0.09 - STRAT_mod0.82",-0.50220439659418,-0.79041370724093,-0.14086265496411
"15","STRAT_mod0.09 - STRAT_mod1.08",-0.35736328624435,-0.679751975660054,-0.0120635356306593
"16","STRAT_mod0.09 - STRAT_mod1.44",-1.08395742769386,-1.43525211783475,-0.718945822038108
"17","STRAT_mod0.09 - STRAT_mod2.15",-0.827063166205193,-1.28537710230728,-0.325350486011303
"18","STRAT_mod0.09 - STRAT_mod2.88",-1.47571491320376,-1.91424195740458,-1.05426187035874
"19","STRAT_mod0.09 - STRAT_mod3.37",-1.38798851022514,-1.78646098930381,-0.94296797754032
"20","STRAT_mod0.1 - STRAT_mod0.2",0.300351358292374,-0.255613848373287,0.847923470777857
"21","STRAT_mod0.1 - STRAT_mod0.3",-0.220638772060909,-0.729857900518937,0.280533510926659
"22","STRAT_mod0.1 - STRAT_mod0.82",-0.40130015818886,-0.87331496631532,0.0310175581942644
"23","STRAT_mod0.1 - STRAT_mod1.08",-0.260011596898096,-0.799103298655609,0.148682439264235
"24","STRAT_mod0.1 - STRAT_mod1.44",-0.992481635114331,-1.4427988707435,-0.493504934766861
"25","STRAT_mod0.1 - STRAT_mod2.15",-0.742044518580769,-1.2862223146609,-0.15737962546109
"26","STRAT_mod0.1 - STRAT_mod2.88",-1.38952502974944,-1.94077076501856,-0.881949760524776
"27","STRAT_mod0.1 - STRAT_mod3.37",-1.30594926111868,-1.83714104403919,-0.803076676729916
"28","STRAT_mod0.2 - STRAT_mod0.3",-0.517968634752066,-0.991305205178378,-0.0207542707711355
"29","STRAT_mod0.2 - STRAT_mod0.82",-0.703483898808202,-1.18239357615238,-0.295204975557965
"30","STRAT_mod0.2 - STRAT_mod1.08",-0.566241392186441,-1.02255866985337,-0.113832945049637
"31","STRAT_mod0.2 - STRAT_mod1.44",-1.29393963695662,-1.78650244374745,-0.854380829904642
"32","STRAT_mod0.2 - STRAT_mod2.15",-1.04017065591896,-1.58980542041422,-0.476892685189625
"33","STRAT_mod0.2 - STRAT_mod2.88",-1.69554802549908,-2.21757171058624,-1.14701159304866
"34","STRAT_mod0.2 - STRAT_mod3.37",-1.60239378333793,-2.11927751155406,-1.05599714964956
"35","STRAT_mod0.3 - STRAT_mod0.82",-0.187080114138837,-0.532684535454166,0.128981402966247
"36","STRAT_mod0.3 - STRAT_mod1.08",-0.0502110896631791,-0.360467179183672,0.353952831265133
"37","STRAT_mod0.3 - STRAT_mod1.44",-0.779055600090487,-1.11255144826197,-0.40145244522904
"38","STRAT_mod0.3 - STRAT_mod2.15",-0.526589431902664,-0.976651718769801,-0.00349383933433955
"39","STRAT_mod0.3 - STRAT_mod2.88",-1.16372823913291,-1.61718191029215,-0.747494128207535
"40","STRAT_mod0.3 - STRAT_mod3.37",-1.08213785851828,-1.49054451227659,-0.666561884251564
"41","STRAT_mod0.82 - STRAT_mod1.08",0.139371900937704,-0.110220456154082,0.434129143672294
"42","STRAT_mod0.82 - STRAT_mod1.44",-0.591153580201194,-0.857921355062729,-0.315300407476002
"43","STRAT_mod0.82 - STRAT_mod2.15",-0.335726974279709,-0.749056123590435,0.10738036642698
"44","STRAT_mod0.82 - STRAT_mod2.88",-0.981271890009239,-1.39093832666276,-0.637531677557376
"45","STRAT_mod0.82 - STRAT_mod3.37",-0.888461433955484,-1.20561114740485,-0.539353181902186
"46","STRAT_mod1.08 - STRAT_mod1.44",-0.729832538464876,-1.04199512059114,-0.441276287487085
"47","STRAT_mod1.08 - STRAT_mod2.15",-0.475555128943768,-0.877342657027157,-0.00352149074393537
"48","STRAT_mod1.08 - STRAT_mod2.88",-1.12450114972063,-1.49632582330045,-0.707389047208778
"49","STRAT_mod1.08 - STRAT_mod3.37",-1.02932692856558,-1.43228199473231,-0.683337875342431
"50","STRAT_mod1.44 - STRAT_mod2.15",0.259325367468193,-0.228455738099967,0.682326257333784
"51","STRAT_mod1.44 - STRAT_mod2.88",-0.392880482164017,-0.772499626397774,-0.039455125652637
"52","STRAT_mod1.44 - STRAT_mod3.37",-0.302153531424381,-0.633243776467964,0.0387878464156302
"53","STRAT_mod2.15 - STRAT_mod2.88",-0.658398018721911,-1.18184368058922,-0.144172904746398
"54","STRAT_mod2.15 - STRAT_mod3.37",-0.554836146532494,-1.06308402041299,-0.0631058025359152
"55","STRAT_mod2.88 - STRAT_mod3.37",0.0863933563629189,-0.259657775519884,0.483973419479526
