"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"1","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod0.1)","Hornfels",-0.0712845667092759,-0.216439663102594,0.0673204520279342
"2","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod0.2)","Hornfels",-0.0265638554531376,-0.175206344849304,0.123780301726813
"3","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod0.3)","Hornfels",-0.0118247635427902,-0.156305313536429,0.132043042381816
"4","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod0.82)","Hornfels",-0.0886220476634074,-0.226755054472322,0.0506771286229122
"5","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod1.08)","Hornfels",-0.0659119932676127,-0.20265884727159,0.0755356065500732
"6","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod1.44)","Hornfels",-0.0674558423785827,-0.203582205010806,0.0819330430808636
"7","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod2.15)","Hornfels",-0.0755591571296246,-0.228101873781065,0.0729223614088843
"8","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod2.88)","Hornfels",-0.0649049320470318,-0.209276623113839,0.0718221608766734
"9","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod3.37)","Hornfels",-0.0636116292206541,-0.197875794118671,0.0797431695631339
"10","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod0.1)","Hornfels",-0.208831676966489,-0.623946091449959,0.185729422091457
"11","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod0.2)","Hornfels",-0.163333184171194,-0.57274078528778,0.240919268043947
"12","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod0.3)","Hornfels",-0.149163405138206,-0.569906621573613,0.244054479945712
"13","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod0.82)","Hornfels",-0.227144888332773,-0.6230955178576,0.190756333413929
"14","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod1.08)","Hornfels",-0.202334029307638,-0.591803132996016,0.22027418477951
"15","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod1.44)","Hornfels",-0.204939158372148,-0.591307387969788,0.224125051189506
"16","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod2.15)","Hornfels",-0.212549746548385,-0.613050281269993,0.205459832000564
"17","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod2.88)","Hornfels",-0.202007074493475,-0.590498066554134,0.221612517022593
"18","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod3.37)","Hornfels",-0.201187105536341,-0.611391962427033,0.199633299510291
"19","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.1 - STRAT_mod0.2)","Hornfels",-0.0905764448506705,-0.4277088723431,0.239576478788794
"20","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.1 - STRAT_mod0.3)","Hornfels",-0.0748711835732787,-0.401637562553392,0.267534970994428
"21","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.1 - STRAT_mod0.82)","Hornfels",-0.154176634424057,-0.475057526545229,0.191642591865024
"22","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.1 - STRAT_mod1.08)","Hornfels",-0.130743115065027,-0.452694667853581,0.212003324415008
"23","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.1 - STRAT_mod1.44)","Hornfels",-0.132518258947248,-0.463330486837082,0.204344017249942
"24","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.1 - STRAT_mod2.15)","Hornfels",-0.139125805669588,-0.483980461089956,0.186276036841488
"25","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.1 - STRAT_mod2.88)","Hornfels",-0.129824102210877,-0.460784337352843,0.205734530620351
"26","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.1 - STRAT_mod3.37)","Hornfels",-0.127673832184444,-0.460390874910984,0.204168550146353
"27","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.2 - STRAT_mod0.3)","Hornfels",-0.12485878762978,-0.447274544134885,0.224511923097875
"28","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.2 - STRAT_mod0.82)","Hornfels",-0.200960196946099,-0.53181636407239,0.139342880817593
"29","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.2 - STRAT_mod1.08)","Hornfels",-0.179817227985998,-0.499818245007002,0.168329093548289
"30","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.2 - STRAT_mod1.44)","Hornfels",-0.181127602186111,-0.522762748576013,0.151338122364654
"31","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.2 - STRAT_mod2.15)","Hornfels",-0.184940952451704,-0.516625542926344,0.16242718381175
"32","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.2 - STRAT_mod2.88)","Hornfels",-0.176470863025896,-0.486521459752232,0.183200494106471
"33","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.2 - STRAT_mod3.37)","Hornfels",-0.176530633280601,-0.495206368696379,0.172628908486532
"34","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.3 - STRAT_mod0.82)","Hornfels",-0.217242047854415,-0.548763918642104,0.115797764598094
"35","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.3 - STRAT_mod1.08)","Hornfels",-0.194702085872262,-0.510301076462732,0.152967964326558
"36","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.3 - STRAT_mod1.44)","Hornfels",-0.19295244260687,-0.525482396360168,0.145510825661441
"37","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.3 - STRAT_mod2.15)","Hornfels",-0.20183908360233,-0.544692271294829,0.128582394928036
"38","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.3 - STRAT_mod2.88)","Hornfels",-0.192104078895088,-0.508973252838345,0.157524165300887
"39","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.3 - STRAT_mod3.37)","Hornfels",-0.191811359344926,-0.528169411620434,0.136835953956159
"40","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.82 - STRAT_mod1.08)","Hornfels",-0.116941882357894,-0.429809055021067,0.229093160912983
"41","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.82 - STRAT_mod1.44)","Hornfels",-0.11534690489215,-0.440224228866862,0.222995743566989
