"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"1","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod0.1)","Hornfels",0.0659793468874059,-0.273145242822243,0.40760075071131
"2","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod0.2)","Hornfels",0.459978243970588,0.11722214800574,0.819833605348677
"3","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod0.3)","Hornfels",0.142140096968775,-0.209260623574678,0.47720096798143
"4","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod0.82)","Hornfels",0.178362666278799,-0.149181569912884,0.511930647088585
"5","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod1.08)","Hornfels",0.196433378171966,-0.124252159919185,0.530158768069444
"6","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod1.44)","Hornfels",0.400096930695867,0.0560645206142602,0.737820553024568
"7","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod2.15)","Hornfels",0.22911595766827,-0.143693260758418,0.584360834303957
"8","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod2.88)","Hornfels",0.183349709950739,-0.132707032371598,0.531577090138995
"9","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.01 - STRAT_mod3.37)","Hornfels",0.139704387009722,-0.178241618533197,0.475085674608372
"10","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod0.1)","Hornfels",0.420371307265572,-0.272283275101016,1.06707723441047
"11","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod0.2)","Hornfels",0.808744992410704,0.150292872812325,1.49857485756516
"12","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod0.3)","Hornfels",0.496387127123532,-0.190077117828379,1.14477302786392
"13","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod0.82)","Hornfels",0.528266629565927,-0.137997136741288,1.18643288903861
"14","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod1.08)","Hornfels",0.548099488951312,-0.141420211056786,1.18391418098296
"15","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod1.44)","Hornfels",0.753615861952439,0.0809757309975722,1.42020087740666
"16","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod2.15)","Hornfels",0.579972167855806,-0.0726254908736455,1.28925631321418
"17","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod2.88)","Hornfels",0.535046650519004,-0.13209211452733,1.20117619668396
"18","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.09 - STRAT_mod3.37)","Hornfels",0.491488310631901,-0.158165003209133,1.16420370800917
"19","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.1 - STRAT_mod0.2)","Hornfels",0.744898674550419,0.340787585871908,1.18593749014713
"20","(STRAT_mod0.01 - STRAT_mod0.09) - (STRAT_mod0.1 - STRAT_mod0.3)","Hornfels",0.433879948052089,0.0229322392707266,0.848934880125222
