"","contrast","RAWMATERIAL","estimate","lower.HPD","upper.HPD"
"1","STRAT_mod0.01 - STRAT_mod0.09","Hornfels",-1.04780568564533,-1.53493853879622,-0.502646690649059
"2","STRAT_mod0.01 - STRAT_mod0.1","Hornfels",-0.658596111083633,-0.990952639140622,-0.337198232732288
"3","STRAT_mod0.01 - STRAT_mod0.2","Hornfels",-1.26412924226607,-1.66036644506874,-0.871670472936084
"4","STRAT_mod0.01 - STRAT_mod0.3","Hornfels",-0.489282596008458,-0.851488518151862,-0.170235417894249
"5","STRAT_mod0.01 - STRAT_mod0.82","Hornfels",-1.34616737078688,-1.65667873573314,-1.05530381182069
"6","STRAT_mod0.01 - STRAT_mod1.08","Hornfels",-0.844434077782392,-1.15776370520349,-0.564304147359032
"7","STRAT_mod0.01 - STRAT_mod1.44","Hornfels",-0.560819636271171,-0.894589193160487,-0.186663628113812
"8","STRAT_mod0.01 - STRAT_mod2.15","Hornfels",-0.669532895236921,-1.10988300789688,-0.247070117114703
"9","STRAT_mod0.01 - STRAT_mod2.88","Hornfels",-0.186313447508164,-0.492993894308914,0.127372306824298
"10","STRAT_mod0.01 - STRAT_mod3.37","Hornfels",-0.4073110885294,-0.685146161270064,-0.102679553752642
"11","STRAT_mod0.09 - STRAT_mod0.1","Hornfels",0.386829284876593,-0.117509527823182,0.953460541992004
"12","STRAT_mod0.09 - STRAT_mod0.2","Hornfels",-0.219834735394489,-0.828481678778841,0.356553595847913
"13","STRAT_mod0.09 - STRAT_mod0.3","Hornfels",0.554640758429926,-0.000351658494674112,1.09200335352266
"14","STRAT_mod0.09 - STRAT_mod0.82","Hornfels",-0.300464860610368,-0.798377586156263,0.229687354603102
"15","STRAT_mod0.09 - STRAT_mod1.08","Hornfels",0.199769601196639,-0.311586113567642,0.712072132440665
"16","STRAT_mod0.09 - STRAT_mod1.44","Hornfels",0.482507264899843,-0.0676152257260343,1.07739776707806
"17","STRAT_mod0.09 - STRAT_mod2.15","Hornfels",0.379160569141786,-0.260708223659174,0.989870815277795
"18","STRAT_mod0.09 - STRAT_mod2.88","Hornfels",0.860609368528965,0.347474116484724,1.40426813871857
"19","STRAT_mod0.09 - STRAT_mod3.37","Hornfels",0.635244186228222,0.123696218047083,1.14267569936433
"20","STRAT_mod0.1 - STRAT_mod0.2","Hornfels",-0.607185140894029,-1.00140552577884,-0.218898967209634
"21","STRAT_mod0.1 - STRAT_mod0.3","Hornfels",0.16275190088506,-0.146476063914719,0.481733987537198
"22","STRAT_mod0.1 - STRAT_mod0.82","Hornfels",-0.687138303871957,-0.960050433329607,-0.423425456833888
"23","STRAT_mod0.1 - STRAT_mod1.08","Hornfels",-0.187706396043824,-0.461912173272604,0.0737500991981404
"24","STRAT_mod0.1 - STRAT_mod1.44","Hornfels",0.0969507871944517,-0.250196546911761,0.446367093306171
"25","STRAT_mod0.1 - STRAT_mod2.15","Hornfels",-0.0125583860671107,-0.443449720344058,0.420265663016097
"26","STRAT_mod0.1 - STRAT_mod2.88","Hornfels",0.469651007520399,0.179361388568508,0.753540386581224
"27","STRAT_mod0.1 - STRAT_mod3.37","Hornfels",0.246741057530174,-0.0121194214594809,0.512911737377226
"28","STRAT_mod0.2 - STRAT_mod0.3","Hornfels",0.768819707271323,0.343196054287013,1.15613148365406
"29","STRAT_mod0.2 - STRAT_mod0.82","Hornfels",-0.0820730813041189,-0.456068524586423,0.282768162288531
"30","STRAT_mod0.2 - STRAT_mod1.08","Hornfels",0.417071602050283,0.0532036093142811,0.770192982848249
"31","STRAT_mod0.2 - STRAT_mod1.44","Hornfels",0.703342340733583,0.254954423666039,1.10991643239219
"32","STRAT_mod0.2 - STRAT_mod2.15","Hornfels",0.591187861215643,0.0890536964379138,1.0722316035927
"33","STRAT_mod0.2 - STRAT_mod2.88","Hornfels",1.07671137891705,0.70989403499424,1.46284967043892
"34","STRAT_mod0.2 - STRAT_mod3.37","Hornfels",0.852796394140234,0.505801461196566,1.22507113339813
"35","STRAT_mod0.3 - STRAT_mod0.82","Hornfels",-0.851513308283159,-1.15280360470775,-0.575339137478651
