"","STRAT_mod","CONARDUNIFIEDTYPOLOGY","mean","l95","u95"
"1","0.01","Bladelet",0.178721850888586,0.0976889057003607,0.276526453392257
"2","0.01","CoreReducedPiece",0.0074947079542023,0.000104655993275403,0.02544324691043
"3","0.01","FlatBladelet",0.017486454442154,0.0012739502491779,0.0482651498759934
"4","0.01","Irregular",0.678607955552281,0.522909777959013,0.813635281830334
"5","0.01","Radial",0.107867621059288,0.0274306804137353,0.220476570507022
"6","0.01","RiceGrain",0.00982141010348825,0.000231121845938903,0.0315592923699775
"7","0.09","Bladelet",0.140605643902829,0.0544386898787227,0.226996167473057
"8","0.09","CoreReducedPiece",0.00587751082228053,7.40628619392461e-05,0.019912480654801
"9","0.09","FlatBladelet",0.013845077913957,0.000953207749493911,0.0386539471940096
"10","0.09","Irregular",0.741648053489797,0.594371513987597,0.888385683116929
"11","0.09","Radial",0.0898881052369323,0.0201016377507843,0.193981656610187
"12","0.09","RiceGrain",0.00813560863420396,0.000182568372131407,0.0270278952223748
"13","0.1","Bladelet",0.151550115805046,0.0552549794803474,0.247138751036427
"14","0.1","CoreReducedPiece",0.00717150912954946,8.08890209065333e-05,0.0254772244244059
"15","0.1","FlatBladelet",0.0159566385901592,0.00108318001069867,0.0447666641035779
"16","0.1","Irregular",0.735762580113953,0.574992058171706,0.899572395371161
"17","0.1","Radial",0.0796391217309937,0.00841344618238838,0.18945287254414
"18","0.1","RiceGrain",0.00992003463029806,0.000200496640488417,0.0325244468777309
"19","0.2","Bladelet",0.127289176185731,0.0307394432130003,0.223163343849454
"20","0.2","CoreReducedPiece",0.00572749064326401,5.94763998774428e-05,0.0201032094127552
"21","0.2","FlatBladelet",0.0131671819397554,0.000667460720338092,0.0398164393665238
"22","0.2","Irregular",0.781911541487257,0.628824933619064,0.942797087986263
"23","0.2","Radial",0.0636890313086343,0.00569694682050625,0.156757305999301
"24","0.2","RiceGrain",0.00821557843535772,0.000135276476747845,0.027721181992065
"25","0.3","Bladelet",0.133525307355936,0.0407964053692704,0.225189916086216
"26","0.3","CoreReducedPiece",0.0056134140963951,6.7745796276828e-05,0.0199084956972027
"27","0.3","FlatBladelet",0.0131431523834735,0.000784562317911055,0.0373906741587387
"28","0.3","Irregular",0.780695977086069,0.642128817462304,0.926421135314087
"29","0.3","Radial",0.0594170185583698,0.0067700793485147,0.142425408029738
"30","0.3","RiceGrain",0.00760513051975602,0.000171916189327125,0.0252533561357497
"31","0.82","Bladelet",0.188959341338043,0.121230021618838,0.273682154512039
"32","0.82","CoreReducedPiece",0.00630275968945215,0.000119617688904923,0.0209816999808927
"33","0.82","FlatBladelet",0.0154276303917729,0.00117719087801691,0.0402655195556784
"34","0.82","Irregular",0.674566043257274,0.557863145648946,0.776103722516924
"35","0.82","Radial",0.106390208670774,0.04267914213556,0.187003677716277
"36","0.82","RiceGrain",0.00835401665268497,0.000236005089202745,0.0258884268006822
"37","1.08","Bladelet",0.17449668096731,0.103443608929818,0.261278021185004
"38","1.08","CoreReducedPiece",0.00633708198571316,9.97285776386364e-05,0.0211060634832476
"39","1.08","FlatBladelet",0.0227296790148879,0.00387762417380006,0.0608908762875628
"40","1.08","Irregular",0.592312841709423,0.448457103918202,0.719884584011161
"41","1.08","Radial",0.195744156506295,0.093996713930984,0.331120202502372
"42","1.08","RiceGrain",0.00837955981637068,0.000237670608914472,0.0266377267046666
"43","1.44","Bladelet",0.174020001257408,0.104596419587038,0.258558425665098
"44","1.44","CoreReducedPiece",0.00617427701398954,8.7587576530539e-05,0.0206902126593206
"45","1.44","FlatBladelet",0.0219859665549154,0.00407600253263756,0.0577800243159748
"46","1.44","Irregular",0.643207262407643,0.512511184633297,0.755844666436892
"47","1.44","Radial",0.137679208144882,0.0608156730318769,0.241738558466839
"48","1.44","RiceGrain",0.0169332846211616,0.00158999220819038,0.0545486444166609
"49","2.15","Bladelet",0.163756668371527,0.0739114425426467,0.260149176850214
"50","2.15","CoreReducedPiece",0.0071650965166593,0.00010298301971489,0.0254769031967523
"51","2.15","FlatBladelet",0.016554736990608,0.00106963348737765,0.0463233941884958
"52","2.15","Irregular",0.724107052080468,0.570715399600433,0.870872376705123
"53","2.15","Radial",0.0781253600239239,0.00957243971234269,0.179274633642239
"54","2.15","RiceGrain",0.0102910860168143,0.000243942268802965,0.0351301596949534
"55","2.88","Bladelet",0.150100645688249,0.0767656618065601,0.233003817547886
"56","2.88","CoreReducedPiece",0.00578250675585406,8.09150565513916e-05,0.0196078315083544
"57","2.88","FlatBladelet",0.013711512154096,0.00117564556665077,0.0374080652335699
"58","2.88","Irregular",0.609160673235931,0.457408937305974,0.744459167803607
"59","2.88","Radial",0.213452908677497,0.0970398310877574,0.374120910659049
"60","2.88","RiceGrain",0.00779175348837356,0.000197892598360812,0.0252442747969985
"61","3.37","Bladelet",0.219961180499732,0.147865038785381,0.311846347163377
"62","3.37","CoreReducedPiece",0.0122567314034631,0.00102380769304963,0.0372779279978685
"63","3.37","FlatBladelet",0.0220506459308361,0.00440594888118729,0.0516589027513009
"64","3.37","Irregular",0.644899889052586,0.530168194321837,0.743947193925681
"65","3.37","Radial",0.0921723626751101,0.0348114549836769,0.162256353079851
"66","3.37","RiceGrain",0.00865919043827292,0.000280802305041284,0.0262704586988435
