"","contrast","estimate","lower.HPD","upper.HPD"
"1","STRAT_mod0.01 - STRAT_mod0.09",0.0708890559520725,-0.368501914664563,0.478910910296605
"2","STRAT_mod0.01 - STRAT_mod0.1",0.163945681994818,-0.0320936015063609,0.351963887434152
"3","STRAT_mod0.01 - STRAT_mod0.2",0.199543110468881,0.0201608324501308,0.379955998507896
"4","STRAT_mod0.01 - STRAT_mod0.3",-0.0141596099176624,-0.155904153971576,0.155180162783836
"5","STRAT_mod0.01 - STRAT_mod0.82",0.0758042480264294,-0.065374313956525,0.243851004598213
"6","STRAT_mod0.01 - STRAT_mod1.08",0.0893061955343413,-0.0612645556369387,0.241902217216705
"7","STRAT_mod0.01 - STRAT_mod1.44",0.12707256985329,-0.0193506079689456,0.282303336944324
"8","STRAT_mod0.01 - STRAT_mod2.15",0.711143331629778,0.337789935558334,1.05075924202266
"9","STRAT_mod0.01 - STRAT_mod2.88",0.0573467689477756,-0.0911608919086575,0.213652221535071
"10","STRAT_mod0.01 - STRAT_mod3.37",-0.00916690241324147,-0.147846105567041,0.153073888399859
"11","STRAT_mod0.09 - STRAT_mod0.1",0.0889733459473945,-0.314498658018735,0.519094505320169
"12","STRAT_mod0.09 - STRAT_mod0.2",0.124375564540458,-0.270561924057802,0.56631233045627
"13","STRAT_mod0.09 - STRAT_mod0.3",-0.0893144917931252,-0.493164934468425,0.310184683904694
"14","STRAT_mod0.09 - STRAT_mod0.82",0.000904619203311086,-0.412698010807759,0.394126760885086
"15","STRAT_mod0.09 - STRAT_mod1.08",0.0125509351870221,-0.413259963358982,0.390032809516896
"16","STRAT_mod0.09 - STRAT_mod1.44",0.0554996379311135,-0.335180538999509,0.467071615783993
"17","STRAT_mod0.09 - STRAT_mod2.15",0.629400875115927,0.122755600592441,1.15589926798005
"18","STRAT_mod0.09 - STRAT_mod2.88",-0.018616680265783,-0.419165669864494,0.381406916058317
"19","STRAT_mod0.09 - STRAT_mod3.37",-0.0846155802513664,-0.486622551821625,0.315808115957466
"20","STRAT_mod0.1 - STRAT_mod0.2",0.0357588447125465,-0.123863069875625,0.191512867204125
"21","STRAT_mod0.1 - STRAT_mod0.3",-0.176853572466932,-0.309373101832207,-0.0467944854091797
"22","STRAT_mod0.1 - STRAT_mod0.82",-0.0874267638741273,-0.216250162856113,0.0416693424855765
"23","STRAT_mod0.1 - STRAT_mod1.08",-0.0751146180642976,-0.195673552543823,0.0630581803634698
"24","STRAT_mod0.1 - STRAT_mod1.44",-0.0357059086330196,-0.155877993473226,0.0974208326763915
"25","STRAT_mod0.1 - STRAT_mod2.15",0.553137261720458,0.190393830549496,0.900936476167203
"26","STRAT_mod0.1 - STRAT_mod2.88",-0.105327514576844,-0.235670469184999,0.0243215739239453
"27","STRAT_mod0.1 - STRAT_mod3.37",-0.17121706657182,-0.296513599541143,-0.0418565598441774
"28","STRAT_mod0.2 - STRAT_mod0.3",-0.214414594982536,-0.32226577464877,-0.0971141227341832
"29","STRAT_mod0.2 - STRAT_mod0.82",-0.124033070455759,-0.232011017893001,-0.00900752225365409
"30","STRAT_mod0.2 - STRAT_mod1.08",-0.11329868539903,-0.217786577740767,-0.00210884781782283
"31","STRAT_mod0.2 - STRAT_mod1.44",-0.0724697127342822,-0.182053480432771,0.0326862944853872
"32","STRAT_mod0.2 - STRAT_mod2.15",0.51614964115771,0.169531731315502,0.862716436321193
"33","STRAT_mod0.2 - STRAT_mod2.88",-0.143888356953125,-0.259950851073896,-0.0416533036293174
"34","STRAT_mod0.2 - STRAT_mod3.37",-0.20904396966192,-0.315136458679618,-0.106077496552615
"35","STRAT_mod0.3 - STRAT_mod0.82",0.08933562489932,0.0244089661805447,0.157360572526869
"36","STRAT_mod0.3 - STRAT_mod1.08",0.101871651764071,0.0411457790080902,0.165330784017357
"37","STRAT_mod0.3 - STRAT_mod1.44",0.141763444069802,0.0763620390947466,0.199268171551793
"38","STRAT_mod0.3 - STRAT_mod2.15",0.727639422852697,0.381679080618284,1.03694164943789
"39","STRAT_mod0.3 - STRAT_mod2.88",0.0713418671651258,0.00679989533428582,0.134345064953607
"40","STRAT_mod0.3 - STRAT_mod3.37",0.00590105775818728,-0.0538549010980631,0.0665614453476167
"41","STRAT_mod0.82 - STRAT_mod1.08",0.0113606098902181,-0.040726006159133,0.0686262558833164
"42","STRAT_mod0.82 - STRAT_mod1.44",0.0513336317758544,-0.00163889460864652,0.108443683513045
"43","STRAT_mod0.82 - STRAT_mod2.15",0.637533740599991,0.272282249816556,0.935351454762966
"44","STRAT_mod0.82 - STRAT_mod2.88",-0.0195268994298967,-0.0779925432779685,0.0350346157696855
"45","STRAT_mod0.82 - STRAT_mod3.37",-0.085308506237034,-0.13415964216172,-0.0311008790954901
"46","STRAT_mod1.08 - STRAT_mod1.44",0.0401396032095249,-0.0097299066155756,0.0896416297884173
"47","STRAT_mod1.08 - STRAT_mod2.15",0.628627813906746,0.273937574126023,0.933928753041471
"48","STRAT_mod1.08 - STRAT_mod2.88",-0.0302310512037085,-0.0832582656730203,0.021113714328532
"49","STRAT_mod1.08 - STRAT_mod3.37",-0.0963711932321587,-0.138654137162106,-0.0493539247061534
"50","STRAT_mod1.44 - STRAT_mod2.15",0.58864681295681,0.229357224745655,0.890404934316123
"51","STRAT_mod1.44 - STRAT_mod2.88",-0.070914823823788,-0.121437954863438,-0.0196624856703878
"52","STRAT_mod1.44 - STRAT_mod3.37",-0.135808714659802,-0.179804518657249,-0.0922088638731253
"53","STRAT_mod2.15 - STRAT_mod2.88",-0.657379017485137,-0.96704964405469,-0.313945034785561
"54","STRAT_mod2.15 - STRAT_mod3.37",-0.723817680678501,-1.04266935997954,-0.383734549456435
"55","STRAT_mod2.88 - STRAT_mod3.37",-0.0650904976026538,-0.115199198314301,-0.0209050403383912
